2
380 306 0
280 136 1
300 238 0
300 170 0
360 204 0
120 272 0
60 170 0
120 204 0
240 408 2
100 238 0
220 374 2
40 136 0
240 340 2
180 102 1
400 136 0
200 340 2
180 238 0
260 102 1
260 170 0
160 136 0
140 238 0
120 136 0
80 136 0
100 306 0
160 204 0
160 340 1
340 170 0
160 272 0
220 238 0
280 204 0
180 306 0
60 306 0
280 340 2
220 34 1
240 68 1
340 306 0
100 170 0
200 136 1
80 272 0
220 306 0
380 170 0
240 136 1
180 374 2
260 374 2
320 204 0
180 170 0
200 408 2
360 136 0
220 442 2
220 102 1
140 170 0
360 340 0
40 340 0
80 204 0
240 272 0
320 340 0
400 340 0
200 204 0
220 170 0
280 272 0
320 136 0
260 238 0
80 340 0
140 306 2
300 306 0
240 204 0
360 272 0
260 306 0
120 340 0
200 272 0
340 238 0
320 272 0
200 68 1
